code,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes
CSPMK2-500M-KAZ01,M,KAZ,Kazakhstan,Kazakhstan,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-LTU01,M,LTU,Lithuania,Lithuania,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-NZL01,M,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-POL01,M,POL,Poland,Poland,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-POR01,M,POR,Portugal,Portugal,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-RSA01,M,RSA,South Africa,South Africa,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-SRB01,M,SRB,Serbia,Serbia,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-SRB02,M,SRB,Serbia,Serbia,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-UKR01,M,UKR,Ukraine,Ukraine,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-USA01,M,USA,United States,United States of America,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK4-500M-AUS01,M,AUS,Australia,Australia,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-CAN01,M,CAN,Canada,Canada,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-CHN01,M,CHN,China,People's Republic of China,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-DEN01,M,DEN,Denmark,Denmark,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-ESP01,M,ESP,Spain,Spain,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-GER01,M,GER,Germany,Germany,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-HUN01,M,HUN,Hungary,Hungary,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-LTU01,M,LTU,Lithuania,Lithuania,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-NZL01,M,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-SRB01,M,SRB,Serbia,Serbia,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPMK4-500M-UKR01,M,UKR,Ukraine,Ukraine,Canoe Sprint,CSP,Men's Kayak Four 500m,4
CSPWC2-500M-CAN01,W,CAN,Canada,Canada,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-CHI01,W,CHI,Chile,Chile,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-CHN01,W,CHN,China,People's Republic of China,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-CUB01,W,CUB,Cuba,Cuba,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-ESP01,W,ESP,Spain,Spain,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-FRA01,W,FRA,France,France,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-GER01,W,GER,Germany,Germany,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-HUN01,W,HUN,Hungary,Hungary,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-KAZ01,W,KAZ,Kazakhstan,Kazakhstan,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-MDA01,W,MDA,Republic of Moldova,Republic of Moldova,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-NGR01,W,NGR,Nigeria,Nigeria,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-POL01,W,POL,Poland,Poland,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWC2-500M-UKR01,W,UKR,Ukraine,Ukraine,Canoe Sprint,CSP,Women's Canoe Double 500m,2
CSPWK2-500M-AUS01,W,AUS,Australia,Australia,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-BEL01,W,BEL,Belgium,Belgium,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-CAN01,W,CAN,Canada,Canada,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-CHN01,W,CHN,China,People's Republic of China,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-DEN01,W,DEN,Denmark,Denmark,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-ESP01,W,ESP,Spain,Spain,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-FRA01,W,FRA,France,France,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-GER01,W,GER,Germany,Germany,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-GER02,W,GER,Germany,Germany,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-HUN01,W,HUN,Hungary,Hungary,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-HUN02,W,HUN,Hungary,Hungary,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-MEX01,W,MEX,Mexico,Mexico,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-NED01,W,NED,Netherlands,Netherlands,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-NOR01,W,NOR,Norway,Norway,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-NZL01,W,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-NZL02,W,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-POL01,W,POL,Poland,Poland,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-POL02,W,POL,Poland,Poland,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-RSA01,W,RSA,South Africa,South Africa,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK2-500M-SWE01,W,SWE,Sweden,Sweden,Canoe Sprint,CSP,Women's Kayak Double 500m,2
CSPWK4-500M-AUS01,W,AUS,Australia,Australia,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-CAN01,W,CAN,Canada,Canada,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-CHN01,W,CHN,China,People's Republic of China,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-ESP01,W,ESP,Spain,Spain,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-GER01,W,GER,Germany,Germany,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-HUN01,W,HUN,Hungary,Hungary,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-NOR01,W,NOR,Norway,Norway,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-NZL01,W,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-POL01,W,POL,Poland,Poland,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CSPWK4-500M-SRB01,W,SRB,Serbia,Serbia,Canoe Sprint,CSP,Women's Kayak Four 500m,4
CTRMMADISON-AUS01,M,AUS,Australia,Australia,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-AUT01,M,AUT,Austria,Austria,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-BEL01,M,BEL,Belgium,Belgium,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-CAN01,M,CAN,Canada,Canada,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-CZE01,M,CZE,Czechia,Czechia,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-DEN01,M,DEN,Denmark,Denmark,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-ESP01,M,ESP,Spain,Spain,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-FRA01,M,FRA,France,France,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-GBR01,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-GER01,M,GER,Germany,Germany,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-ITA01,M,ITA,Italy,Italy,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-JPN01,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-NED01,M,NED,Netherlands,Netherlands,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-NZL01,M,NZL,New Zealand,New Zealand,Cycling Track,CTR,Men's Madison,2
CTRMMADISON-POR01,M,POR,Portugal,Portugal,Cycling Track,CTR,Men's Madison,2
CTRMPURTEAM4AUS01,M,AUS,Australia,Australia,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4BEL01,M,BEL,Belgium,Belgium,Cycling Track,CTR,Men's Team Pursuit,4
CTRMPURTEAM4CAN01,M,CAN,Canada,Canada,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4DEN01,M,DEN,Denmark,Denmark,Cycling Track,CTR,Men's Team Pursuit,6
CTRMPURTEAM4FRA01,M,FRA,France,France,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4GBR01,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Team Pursuit,6
CTRMPURTEAM4GER01,M,GER,Germany,Germany,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4ITA01,M,ITA,Italy,Italy,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4JPN01,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Team Pursuit,5
CTRMPURTEAM4NZL01,M,NZL,New Zealand,New Zealand,Cycling Track,CTR,Men's Team Pursuit,5
CTRMSPRTEAM3AUS01,M,AUS,Australia,Australia,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3CAN01,M,CAN,Canada,Canada,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3CHN01,M,CHN,China,People's Republic of China,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3FRA01,M,FRA,France,France,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3GBR01,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3GER01,M,GER,Germany,Germany,Cycling Track,CTR,Men's Team Sprint,4
CTRMSPRTEAM3JPN01,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Team Sprint,5
CTRMSPRTEAM3NED01,M,NED,Netherlands,Netherlands,Cycling Track,CTR,Men's Team Sprint,4
CTRWMADISON-AUS01,W,AUS,Australia,Australia,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-BEL01,W,BEL,Belgium,Belgium,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-CAN01,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-DEN01,W,DEN,Denmark,Denmark,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-FRA01,W,FRA,France,France,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-GBR01,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-GER01,W,GER,Germany,Germany,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-IRL01,W,IRL,Ireland,Ireland,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-ITA01,W,ITA,Italy,Italy,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-JPN01,W,JPN,Japan,Japan,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-NED01,W,NED,Netherlands,Netherlands,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-NZL01,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-POL01,W,POL,Poland,Poland,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-SUI01,W,SUI,Switzerland,Switzerland,Cycling Track,CTR,Women's Madison,2
CTRWMADISON-USA01,W,USA,United States,United States of America,Cycling Track,CTR,Women's Madison,2
CTRWPURTEAM4AUS01,W,AUS,Australia,Australia,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4CAN01,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4FRA01,W,FRA,France,France,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4GBR01,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Team Pursuit,6
CTRWPURTEAM4GER01,W,GER,Germany,Germany,Cycling Track,CTR,Women's Team Pursuit,4
CTRWPURTEAM4IRL01,W,IRL,Ireland,Ireland,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4ITA01,W,ITA,Italy,Italy,Cycling Track,CTR,Women's Team Pursuit,6
CTRWPURTEAM4JPN01,W,JPN,Japan,Japan,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4NZL01,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Team Pursuit,5
CTRWPURTEAM4USA01,W,USA,United States,United States of America,Cycling Track,CTR,Women's Team Pursuit,6
CTRWSPRTEAM3CAN01,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Team Sprint,4
CTRWSPRTEAM3CHN01,W,CHN,China,People's Republic of China,Cycling Track,CTR,Women's Team Sprint,4
CTRWSPRTEAM3GBR01,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Team Sprint,4
CTRWSPRTEAM3GER01,W,GER,Germany,Germany,Cycling Track,CTR,Women's Team Sprint,4
CTRWSPRTEAM3MEX01,W,MEX,Mexico,Mexico,Cycling Track,CTR,Women's Team Sprint,3
CTRWSPRTEAM3NED01,W,NED,Netherlands,Netherlands,Cycling Track,CTR,Women's Team Sprint,3
CTRWSPRTEAM3NZL01,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Team Sprint,4
CTRWSPRTEAM3POL01,W,POL,Poland,Poland,Cycling Track,CTR,Women's Team Sprint,4
DIVM10MTEAM2AUS01,M,AUS,Australia,Australia,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2CAN01,M,CAN,Canada,Canada,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2CHN01,M,CHN,China,People's Republic of China,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2FRA01,M,FRA,France,France,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2GBR01,M,GBR,Great Britain,Great Britain,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2GER01,M,GER,Germany,Germany,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2MEX01,M,MEX,Mexico,Mexico,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM10MTEAM2UKR01,M,UKR,Ukraine,Ukraine,Diving,DIV,Men's Synchronised 10m Platform,2
DIVM3MTEAM2-CHN01,M,CHN,China,People's Republic of China,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-ESP01,M,ESP,Spain,Spain,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-FRA01,M,FRA,France,France,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-GBR01,M,GBR,Great Britain,Great Britain,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-ITA01,M,ITA,Italy,Italy,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-MEX01,M,MEX,Mexico,Mexico,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-UKR01,M,UKR,Ukraine,Ukraine,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVM3MTEAM2-USA01,M,USA,United States,United States of America,Diving,DIV,Men's Synchronised 3m Springboard,2
DIVW10MTEAM2CAN01,W,CAN,Canada,Canada,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2CHN01,W,CHN,China,People's Republic of China,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2FRA01,W,FRA,France,France,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2GBR01,W,GBR,Great Britain,Great Britain,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2MEX01,W,MEX,Mexico,Mexico,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2PRK01,W,PRK,DPR Korea,Democratic People's Republic of Korea,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2UKR01,W,UKR,Ukraine,Ukraine,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW10MTEAM2USA01,W,USA,United States,United States of America,Diving,DIV,Women's Synchronised 10m Platform,2
DIVW3MTEAM2-AUS01,W,AUS,Australia,Australia,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-CHN01,W,CHN,China,People's Republic of China,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-FRA01,W,FRA,France,France,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-GBR01,W,GBR,Great Britain,Great Britain,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-GER01,W,GER,Germany,Germany,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-ITA01,W,ITA,Italy,Italy,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-UKR01,W,UKR,Ukraine,Ukraine,Diving,DIV,Women's Synchronised 3m Springboard,2
DIVW3MTEAM2-USA01,W,USA,United States,United States of America,Diving,DIV,Women's Synchronised 3m Springboard,2
EQUODRESTEAMAUS01,O,AUS,Australia,Australia,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMAUT01,O,AUT,Austria,Austria,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMBEL01,O,BEL,Belgium,Belgium,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMCAN01,O,CAN,Canada,Canada,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMDEN01,O,DEN,Denmark,Denmark,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMESP01,O,ESP,Spain,Spain,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMFIN01,O,FIN,Finland,Finland,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMFRA01,O,FRA,France,France,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMGBR01,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMGER01,O,GER,Germany,Germany,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMNED01,O,NED,Netherlands,Netherlands,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMPOL01,O,POL,Poland,Poland,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMPOR01,O,POR,Portugal,Portugal,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMSWE01,O,SWE,Sweden,Sweden,Equestrian,EQU,Dressage Team,4
EQUODRESTEAMUSA01,O,USA,United States,United States of America,Equestrian,EQU,Dressage Team,4
EQUOEVENTEAMAUS01,O,AUS,Australia,Australia,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMBEL01,O,BEL,Belgium,Belgium,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMBRA01,O,BRA,Brazil,Brazil,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMCAN01,O,CAN,Canada,Canada,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMFRA01,O,FRA,France,France,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMGBR01,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMGER01,O,GER,Germany,Germany,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMIRL01,O,IRL,Ireland,Ireland,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMITA01,O,ITA,Italy,Italy,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMJPN01,O,JPN,Japan,Japan,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMNED01,O,NED,Netherlands,Netherlands,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMNZL01,O,NZL,New Zealand,New Zealand,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMPOL01,O,POL,Poland,Poland,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMSUI01,O,SUI,Switzerland,Switzerland,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMSWE01,O,SWE,Sweden,Sweden,Equestrian,EQU,Eventing Team,4
EQUOEVENTEAMUSA01,O,USA,United States,United States of America,Equestrian,EQU,Eventing Team,4
EQUOJUMPTEAMAUS01,O,AUS,Australia,Australia,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMAUT01,O,AUT,Austria,Austria,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMBEL01,O,BEL,Belgium,Belgium,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMBRA01,O,BRA,Brazil,Brazil,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMCAN01,O,CAN,Canada,Canada,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMESP01,O,ESP,Spain,Spain,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMFRA01,O,FRA,France,France,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMGBR01,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMGER01,O,GER,Germany,Germany,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMIRL01,O,IRL,Ireland,Ireland,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMISR01,O,ISR,Israel,Israel,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMJPN01,O,JPN,Japan,Japan,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMKSA01,O,KSA,Saudi Arabia,Saudi Arabia,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMMEX01,O,MEX,Mexico,Mexico,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMNED01,O,NED,Netherlands,Netherlands,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMPOL01,O,POL,Poland,Poland,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMSUI01,O,SUI,Switzerland,Switzerland,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMSWE01,O,SWE,Sweden,Sweden,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMUAE01,O,UAE,UA Emirates,United Arab Emirates,Equestrian,EQU,Jumping Team,4
EQUOJUMPTEAMUSA01,O,USA,United States,United States of America,Equestrian,EQU,Jumping Team,4
FBLMTEAM11--ARG01,M,ARG,Argentina,Argentina,Football,FBL,Men,18
FBLMTEAM11--DOM01,M,DOM,Dominican Republic,Dominican Republic,Football,FBL,Men,19
FBLMTEAM11--EGY01,M,EGY,Egypt,Egypt,Football,FBL,Men,19
FBLMTEAM11--ESP01,M,ESP,Spain,Spain,Football,FBL,Men,22
FBLMTEAM11--FRA01,M,FRA,France,France,Football,FBL,Men,21
FBLMTEAM11--GUI01,M,GUI,Guinea,Guinea,Football,FBL,Men,19
FBLMTEAM11--IRQ01,M,IRQ,Iraq,Iraq,Football,FBL,Men,19
FBLMTEAM11--ISR01,M,ISR,Israel,Israel,Football,FBL,Men,19
FBLMTEAM11--JPN01,M,JPN,Japan,Japan,Football,FBL,Men,21
FBLMTEAM11--MAR01,M,MAR,Morocco,Morocco,Football,FBL,Men,19
FBLMTEAM11--MLI01,M,MLI,Mali,Mali,Football,FBL,Men,18
FBLMTEAM11--NZL01,M,NZL,New Zealand,New Zealand,Football,FBL,Men,20
FBLMTEAM11--PAR01,M,PAR,Paraguay,Paraguay,Football,FBL,Men,19
FBLMTEAM11--UKR01,M,UKR,Ukraine,Ukraine,Football,FBL,Men,18
FBLMTEAM11--USA01,M,USA,United States,United States of America,Football,FBL,Men,19
FBLMTEAM11--UZB01,M,UZB,Uzbekistan,Uzbekistan,Football,FBL,Men,21
FBLWTEAM11--AUS01,W,AUS,Australia,Australia,Football,FBL,Women,19
FBLWTEAM11--BRA01,W,BRA,Brazil,Brazil,Football,FBL,Women,22
FBLWTEAM11--CAN01,W,CAN,Canada,Canada,Football,FBL,Women,19
FBLWTEAM11--COL01,W,COL,Colombia,Colombia,Football,FBL,Women,19
FBLWTEAM11--ESP01,W,ESP,Spain,Spain,Football,FBL,Women,22
FBLWTEAM11--FRA01,W,FRA,France,France,Football,FBL,Women,20
FBLWTEAM11--GER01,W,GER,Germany,Germany,Football,FBL,Women,20
FBLWTEAM11--JPN01,W,JPN,Japan,Japan,Football,FBL,Women,22
FBLWTEAM11--NGR01,W,NGR,Nigeria,Nigeria,Football,FBL,Women,18
FBLWTEAM11--NZL01,W,NZL,New Zealand,New Zealand,Football,FBL,Women,19
FBLWTEAM11--USA01,W,USA,United States,United States of America,Football,FBL,Women,20
FBLWTEAM11--ZAM01,W,ZAM,Zambia,Zambia,Football,FBL,Women,20
FENMTEAMEPEECZE01,M,CZE,Czechia,Czechia,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEEGY01,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEFRA01,M,FRA,France,France,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEHUN01,M,HUN,Hungary,Hungary,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEITA01,M,ITA,Italy,Italy,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEJPN01,M,JPN,Japan,Japan,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEKAZ01,M,KAZ,Kazakhstan,Kazakhstan,Fencing,FEN,Men's Épée Team,4
FENMTEAMEPEEVEN01,M,VEN,Venezuela,Venezuela,Fencing,FEN,Men's Épée Team,4
FENMTEAMFOILCAN01,M,CAN,Canada,Canada,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILCHN01,M,CHN,China,People's Republic of China,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILEGY01,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILFRA01,M,FRA,France,France,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILITA01,M,ITA,Italy,Italy,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILJPN01,M,JPN,Japan,Japan,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILPOL01,M,POL,Poland,Poland,Fencing,FEN,Men's Foil Team,4
FENMTEAMFOILUSA01,M,USA,United States,United States of America,Fencing,FEN,Men's Foil Team,4
FENMTEAMSABRCAN01,M,CAN,Canada,Canada,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABREGY01,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRFRA01,M,FRA,France,France,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRHUN01,M,HUN,Hungary,Hungary,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRIRI01,M,IRI,IR Iran,Islamic Republic of Iran,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRITA01,M,ITA,Italy,Italy,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRKOR01,M,KOR,Korea,Republic of Korea,Fencing,FEN,Men's Sabre Team,4
FENMTEAMSABRUSA01,M,USA,United States,United States of America,Fencing,FEN,Men's Sabre Team,4
