code,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes
ATHM4X100M--NGR01,M,NGR,Nigeria,Nigeria,Athletics,ATH,Men's 4 x 100m Relay,4
ATHM4X100M--RSA01,M,RSA,South Africa,South Africa,Athletics,ATH,Men's 4 x 100m Relay,5
ATHM4X100M--USA01,M,USA,United States,United States of America,Athletics,ATH,Men's 4 x 100m Relay,6
ATHM4X400M--BEL01,M,BEL,Belgium,Belgium,Athletics,ATH,Men's 4 x 400m Relay,7
ATHM4X400M--BOT01,M,BOT,Botswana,Botswana,Athletics,ATH,Men's 4 x 400m Relay,6
ATHM4X400M--BRA01,M,BRA,Brazil,Brazil,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--ESP01,M,ESP,Spain,Spain,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--FRA01,M,FRA,France,France,Athletics,ATH,Men's 4 x 400m Relay,6
ATHM4X400M--GBR01,M,GBR,Great Britain,Great Britain,Athletics,ATH,Men's 4 x 400m Relay,7
ATHM4X400M--GER01,M,GER,Germany,Germany,Athletics,ATH,Men's 4 x 400m Relay,7
ATHM4X400M--IND01,M,IND,India,India,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--ITA01,M,ITA,Italy,Italy,Athletics,ATH,Men's 4 x 400m Relay,9
ATHM4X400M--JPN01,M,JPN,Japan,Japan,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--NGR01,M,NGR,Nigeria,Nigeria,Athletics,ATH,Men's 4 x 400m Relay,6
ATHM4X400M--POL01,M,POL,Poland,Poland,Athletics,ATH,Men's 4 x 400m Relay,6
ATHM4X400M--RSA01,M,RSA,South Africa,South Africa,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--TTO01,M,TTO,Trinidad and Tobago,Trinidad and Tobago,Athletics,ATH,Men's 4 x 400m Relay,5
ATHM4X400M--USA01,M,USA,United States,United States of America,Athletics,ATH,Men's 4 x 400m Relay,8
ATHM4X400M--ZAM01,M,ZAM,Zambia,Zambia,Athletics,ATH,Men's 4 x 400m Relay,5
ATHW4X100M--AUS01,W,AUS,Australia,Australia,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--BEL01,W,BEL,Belgium,Belgium,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--CAN01,W,CAN,Canada,Canada,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--CIV01,W,CIV,Côte d'Ivoire,Côte d'Ivoire,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--ESP01,W,ESP,Spain,Spain,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--FRA01,W,FRA,France,France,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--GBR01,W,GBR,Great Britain,Great Britain,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--GER01,W,GER,Germany,Germany,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--ITA01,W,ITA,Italy,Italy,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--JAM01,W,JAM,Jamaica,Jamaica,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--NED01,W,NED,Netherlands,Netherlands,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--NGR01,W,NGR,Nigeria,Nigeria,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--POL01,W,POL,Poland,Poland,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--SUI01,W,SUI,Switzerland,Switzerland,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X100M--TTO01,W,TTO,Trinidad and Tobago,Trinidad and Tobago,Athletics,ATH,Women's 4 x 100m Relay,5
ATHW4X100M--USA01,W,USA,United States,United States of America,Athletics,ATH,Women's 4 x 100m Relay,6
ATHW4X400M--BEL01,W,BEL,Belgium,Belgium,Athletics,ATH,Women's 4 x 400m Relay,7
ATHW4X400M--CAN01,W,CAN,Canada,Canada,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--CUB01,W,CUB,Cuba,Cuba,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--ESP01,W,ESP,Spain,Spain,Athletics,ATH,Women's 4 x 400m Relay,5
ATHW4X400M--FRA01,W,FRA,France,France,Athletics,ATH,Women's 4 x 400m Relay,7
ATHW4X400M--GBR01,W,GBR,Great Britain,Great Britain,Athletics,ATH,Women's 4 x 400m Relay,8
ATHW4X400M--GER01,W,GER,Germany,Germany,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--IND01,W,IND,India,India,Athletics,ATH,Women's 4 x 400m Relay,5
ATHW4X400M--IRL01,W,IRL,Ireland,Ireland,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--ITA01,W,ITA,Italy,Italy,Athletics,ATH,Women's 4 x 400m Relay,7
ATHW4X400M--JAM01,W,JAM,Jamaica,Jamaica,Athletics,ATH,Women's 4 x 400m Relay,8
ATHW4X400M--NED01,W,NED,Netherlands,Netherlands,Athletics,ATH,Women's 4 x 400m Relay,7
ATHW4X400M--NOR01,W,NOR,Norway,Norway,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--POL01,W,POL,Poland,Poland,Athletics,ATH,Women's 4 x 400m Relay,6
ATHW4X400M--SUI01,W,SUI,Switzerland,Switzerland,Athletics,ATH,Women's 4 x 400m Relay,7
ATHW4X400M--USA01,W,USA,United States,United States of America,Athletics,ATH,Women's 4 x 400m Relay,8
ATHX42KWALKTAUS01,X,AUS,Australia,Australia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTAUS02,X,AUS,Australia,Australia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTBRA01,X,BRA,Brazil,Brazil,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCAN01,X,CAN,Canada,Canada,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCHN01,X,CHN,China,People's Republic of China,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCHN02,X,CHN,China,People's Republic of China,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCOL01,X,COL,Colombia,Colombia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCOL02,X,COL,Colombia,Colombia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTCZE01,X,CZE,Czechia,Czechia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTECU01,X,ECU,Ecuador,Ecuador,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTESP01,X,ESP,Spain,Spain,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTESP02,X,ESP,Spain,Spain,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTFRA01,X,FRA,France,France,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTGER01,X,GER,Germany,Germany,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTHUN01,X,HUN,Hungary,Hungary,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTIND01,X,IND,India,India,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTITA01,X,ITA,Italy,Italy,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTJPN01,X,JPN,Japan,Japan,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTJPN02,X,JPN,Japan,Japan,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTMEX01,X,MEX,Mexico,Mexico,Athletics,ATH,Marathon Race Walk Relay Mixed,3
ATHX42KWALKTPER01,X,PER,Peru,Peru,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTPOL01,X,POL,Poland,Poland,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTSVK01,X,SVK,Slovakia,Slovakia,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTTUR01,X,TUR,Türkiye,Türkiye,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX42KWALKTUKR01,X,UKR,Ukraine,Ukraine,Athletics,ATH,Marathon Race Walk Relay Mixed,2
ATHX4X400M--BAH01,X,BAH,Bahamas,Bahamas,Athletics,ATH,4 x 400m Relay Mixed,4
ATHX4X400M--BEL01,X,BEL,Belgium,Belgium,Athletics,ATH,4 x 400m Relay Mixed,7
ATHX4X400M--DOM01,X,DOM,Dominican Republic,Dominican Republic,Athletics,ATH,4 x 400m Relay Mixed,4
ATHX4X400M--FRA01,X,FRA,France,France,Athletics,ATH,4 x 400m Relay Mixed,7
ATHX4X400M--GBR01,X,GBR,Great Britain,Great Britain,Athletics,ATH,4 x 400m Relay Mixed,9
ATHX4X400M--GER01,X,GER,Germany,Germany,Athletics,ATH,4 x 400m Relay Mixed,6
ATHX4X400M--IRL01,X,IRL,Ireland,Ireland,Athletics,ATH,4 x 400m Relay Mixed,6
ATHX4X400M--ITA01,X,ITA,Italy,Italy,Athletics,ATH,4 x 400m Relay Mixed,6
ATHX4X400M--JAM01,X,JAM,Jamaica,Jamaica,Athletics,ATH,4 x 400m Relay Mixed,5
ATHX4X400M--KEN01,X,KEN,Kenya,Kenya,Athletics,ATH,4 x 400m Relay Mixed,4
ATHX4X400M--NED01,X,NED,Netherlands,Netherlands,Athletics,ATH,4 x 400m Relay Mixed,6
ATHX4X400M--NGR01,X,NGR,Nigeria,Nigeria,Athletics,ATH,4 x 400m Relay Mixed,7
ATHX4X400M--POL01,X,POL,Poland,Poland,Athletics,ATH,4 x 400m Relay Mixed,8
ATHX4X400M--SUI01,X,SUI,Switzerland,Switzerland,Athletics,ATH,4 x 400m Relay Mixed,6
ATHX4X400M--UKR01,X,UKR,Ukraine,Ukraine,Athletics,ATH,4 x 400m Relay Mixed,5
ATHX4X400M--USA01,X,USA,United States,United States of America,Athletics,ATH,4 x 400m Relay Mixed,6
BDMMDOUBLES-CAN01,M,CAN,Canada,Canada,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-CHN01,M,CHN,China,People's Republic of China,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-CHN02,M,CHN,China,People's Republic of China,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-CZE01,M,CZE,Czechia,Czechia,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-DEN01,M,DEN,Denmark,Denmark,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-FRA01,M,FRA,France,France,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-FRA02,M,FRA,France,France,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-GBR01,M,GBR,Great Britain,Great Britain,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-GER01,M,GER,Germany,Germany,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-INA01,M,INA,Indonesia,Indonesia,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-IND01,M,IND,India,India,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-JPN01,M,JPN,Japan,Japan,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-KOR01,M,KOR,Korea,Republic of Korea,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-MAS01,M,MAS,Malaysia,Malaysia,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-THA01,M,THA,Thailand,Thailand,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-TPE01,M,TPE,Chinese Taipei,Chinese Taipei,Badminton,BDM,Men's Doubles,2
BDMMDOUBLES-USA01,M,USA,United States,United States of America,Badminton,BDM,Men's Doubles,2
BDMWDOUBLES-AUS01,W,AUS,Australia,Australia,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-BUL01,W,BUL,Bulgaria,Bulgaria,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-CHN01,W,CHN,China,People's Republic of China,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-CHN02,W,CHN,China,People's Republic of China,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-DEN01,W,DEN,Denmark,Denmark,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-FRA01,W,FRA,France,France,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-HKG01,W,HKG,"Hong Kong, China","Hong Kong, China",Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-INA01,W,INA,Indonesia,Indonesia,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-IND01,W,IND,India,India,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-JPN01,W,JPN,Japan,Japan,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-JPN02,W,JPN,Japan,Japan,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-KOR01,W,KOR,Korea,Republic of Korea,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-KOR02,W,KOR,Korea,Republic of Korea,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-MAS01,W,MAS,Malaysia,Malaysia,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-THA01,W,THA,Thailand,Thailand,Badminton,BDM,Women's Doubles,2
BDMWDOUBLES-USA01,W,USA,United States,United States of America,Badminton,BDM,Women's Doubles,2
