athlets_code,name,name_short,name_tv,gender,country_code,country_long,disciplines,events
1910520,HASSAN Mostafa Amr,HASSAN MA,Mostafa Amr HASSAN,Male,EGY,Egypt,['Athletics'],"[""Men's Shot Put""]"
1910545,ROJAS Brenda,ROJAS B,Brenda ROJAS,Female,ARG,Argentina,['Canoe Sprint'],"[""Women's Kayak Single 500m""]"
1910555,KIPRUTO Benson,KIPRUTO B,Benson KIPRUTO,Male,KEN,Kenya,['Athletics'],"[""Men's Marathon""]"
1910557,CHEPCHIRCHIR Nelly,CHEPCHIRCHIR N,Nelly CHEPCHIRCHIR,Female,KEN,Kenya,['Athletics'],"[""Women's 1500m""]"
1910560,CHEBET Beatrice,CHEBET B,Beatrice CHEBET,Female,KEN,Kenya,['Athletics'],"[""Women's 10,000m"", ""Women's 5000m""]"
1910569,KOMEN Brian,KOMEN B,Brian KOMEN,Male,KEN,Kenya,['Athletics'],"[""Men's 1500m""]"
1910609,ACHI-YAO Harold,ACHI-YAO H,Harold ACHI-YAO,Male,FRA,France,['Athletics'],"[""Men's 4 x 100m Relay""]"
1910615,AMMIRATI Anthony,AMMIRATI A,Anthony AMMIRATI,Male,FRA,France,['Athletics'],"[""Men's Pole Vault""]"
1910618,ANDANT Teo,ANDANT T,Teo ANDANT,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1910629,BAPTE Laeticia,BAPTE L,Laeticia BAPTE,Female,FRA,France,['Athletics'],"[""Women's 100m Hurdles""]"
1910634,BELOCIAN Wilhem,BELOCIAN W,Wilhem BELOCIAN,Male,FRA,France,['Athletics'],"[""Men's 110m Hurdles""]"
1910636,BERETTA Clemence,BERETTA C,Clemence BERETTA,Female,FRA,France,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']"
1910644,BIRON Gilles,BIRON G,Gilles BIRON,Male,FRA,France,['Athletics'],"[""Men's 400m"", ""Men's 4 x 400m Relay""]"
1910646,BONNIN Marie-Julie,BONNIN MJ,Marie-Julie BONNIN,Female,FRA,France,['Athletics'],"[""Women's Pole Vault""]"
1910647,BORDIER Gabriel,BORDIER G,Gabriel BORDIER,Male,FRA,France,['Athletics'],"[""Men's 20km Race Walk""]"
1910648,BOUR Felix,BOUR F,Felix BOUR,Male,FRA,France,['Athletics'],"[""Men's Marathon""]"
1910650,BOURGOIN Anais,BOURGOIN A,Anais BOURGOIN,Female,FRA,France,['Athletics'],"[""Women's 800m""]"
1910657,BROSSIER Amandine,BROSSIER A,Amandine BROSSIER,Female,FRA,France,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1910661,CAMPAGNE Tom,CAMPAGNE T,Tom CAMPAGNE,Male,FRA,France,['Athletics'],"[""Men's Long Jump""]"
1910668,CHAHDI Hassan,CHAHDI H,Hassan CHAHDI,Male,FRA,France,['Athletics'],"[""Men's Marathon""]"
1910670,CHAPELLE Ninon,CHAPELLE N,Ninon CHAPELLE,Female,FRA,France,['Athletics'],"[""Women's Pole Vault""]"
1910672,CHAUSSINAND Yann,CHAUSSINAND Y,Yann CHAUSSINAND,Male,FRA,France,['Athletics'],"[""Men's Hammer Throw""]"
1910681,COLLET Thibaut,COLLET T,Thibaut COLLET,Male,FRA,France,['Athletics'],"[""Men's Pole Vault""]"
1910689,GERCSAK Szabina,GERCSAK S,Szabina GERCSAK,Female,HUN,Hungary,['Judo'],"['Women -70 kg', 'Mixed Team']"
1910700,DARU Nicolas-Marie,DARU NM,Nicolas-Marie DARU,Male,FRA,France,['Athletics'],"[""Men's 3000m Steeplechase""]"
1910704,DEAU Alexe,DEAU A,Alexe DEAU,Female,FRA,France,['Athletics'],"[""Women's 4 x 400m Relay""]"
1910721,DJOUHAN Lolassonn,DJOUHAN L,Lolassonn DJOUHAN,Male,FRA,France,['Athletics'],"[""Men's Discus Throw""]"
1910726,DUCOS Clement,DUCOS C,Clement DUCOS,Male,FRA,France,['Athletics'],"[""Men's 400m Hurdles""]"
1910732,EMIG Robin,EMIG R,Robin EMIG,Male,FRA,France,['Athletics'],"[""Men's Pole Vault""]"
1910733,ERIUS Jeff,ERIUS J,Jeff ERIUS,Male,FRA,France,['Athletics'],"[""Men's 4 x 100m Relay""]"
1910736,FINOT Alice,FINOT A,Alice FINOT,Female,FRA,France,['Athletics'],"[""Women's 3000m Steeplechase""]"
